Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Clutch Completion,Sex,Species
43.5,14.2,220.0,4700.0,8.64931,-26.68867,0,1,2
45.5,14.5,212.0,4750.0,8.15566,-26.22848,0,1,2
38.7,19.0,195.0,3450.0,9.18528,-25.06691,0,1,0
43.8,13.9,208.0,4300.0,8.58319,-26.84415,0,1,2
38.8,17.6,191.0,3275.0,8.88098,-25.89741,0,1,0
49.6,18.2,193.0,3775.0,9.4618,-24.70615,1,0,1
46.2,14.9,221.0,5300.0,8.60092,-26.84374,0,0,2
45.4,14.6,211.0,4800.0,8.24515,-25.46782,0,1,2
52.5,15.6,221.0,5450.0,8.28601,-26.27573,0,0,2
45.1,14.4,210.0,4400.0,8.51951,-27.01854,0,1,2
48.2,14.3,210.0,4600.0,7.6887,-25.50811,0,1,2
45.2,17.8,198.0,3950.0,8.88942,-24.49433,0,1,1
44.5,14.3,216.0,4100.0,7.96621,-25.69327,0,-1,2
40.1,18.9,188.0,4300.0,8.51362,-26.55602,0,0,0
43.3,13.4,209.0,4400.0,8.13643,-25.32176,0,1,2
38.1,17.0,181.0,3175.0,9.79532,-25.27385,0,1,0
45.1,14.5,207.0,5050.0,7.97408,-25.53768,0,1,2
37.2,18.1,178.0,3900.0,9.72764,-25.0102,0,0,0
38.1,16.5,198.0,3825.0,8.43951,-26.57563,0,1,0
54.3,15.7,231.0,5650.0,8.49662,-26.84166,0,0,2
37.6,19.3,181.0,3300.0,9.41131,-25.04169,1,1,0
48.2,15.6,221.0,5100.0,8.24651,-26.66958,0,0,2
45.5,17.0,196.0,3500.0,9.36493,-24.66259,0,1,1
37.7,16.0,183.0,3075.0,9.2151,-26.2253,0,1,0
40.9,18.9,184.0,3900.0,8.79665,-25.14591,0,0,0
46.4,15.6,221.0,5000.0,8.35078,-26.70783,0,0,2
39.2,18.6,190.0,4250.0,9.11006,-25.79549,0,0,0
54.2,20.8,201.0,4300.0,9.49283,-24.59996,0,0,1
39.7,17.7,193.0,3200.0,9.02657,-26.06203,0,1,0
42.2,19.5,197.0,4275.0,8.80186,-26.41218,0,0,0
46.4,15.0,216.0,4700.0,8.47938,-26.9547,0,1,2
49.1,15.0,228.0,5500.0,8.65914,-25.79203,0,0,2
36.4,17.0,195.0,3325.0,9.17847,-25.23061,0,1,0
34.6,21.1,198.0,4400.0,8.55583,-25.22588,0,0,0
40.6,19.0,199.0,4000.0,9.22537,-25.60826,0,0,0
46.5,17.9,192.0,3500.0,9.03935,-24.30229,1,1,1
50.6,19.4,193.0,3800.0,9.28153,-24.97134,1,0,1
36.2,16.1,187.0,3550.0,7.82381,-26.51382,0,1,0
46.9,16.6,192.0,2700.0,9.80589,-24.73735,1,1,1
50.0,15.3,220.0,5550.0,8.30515,-25.19017,0,0,2
39.6,18.8,190.0,4600.0,9.49106,-24.10255,0,0,0
49.6,16.0,225.0,5700.0,8.38324,-26.84272,1,0,2
41.4,18.6,191.0,3700.0,8.35396,-26.27853,0,0,0
41.1,17.6,182.0,3200.0,8.733381696969701,-25.68629154078549,0,1,0
40.6,17.2,187.0,3475.0,9.23408,-26.01549,0,0,0
36.4,17.1,184.0,2850.0,8.62623,-26.1165,0,1,0
42.9,17.6,196.0,4700.0,8.63259,-26.23027,0,0,0
49.3,15.7,217.0,5850.0,8.07137,-25.52473,0,0,2
33.1,16.1,178.0,2900.0,9.04218,-26.15775,0,1,0
36.6,17.8,185.0,3700.0,8.733381696969701,-25.68629154078549,0,1,0
49.5,16.1,224.0,5650.0,8.83352,-25.69195,0,0,2
43.2,14.5,208.0,4450.0,8.48367,-26.86485,0,1,2
39.6,20.7,191.0,3900.0,8.80967,-26.78958,0,1,0
37.8,17.1,186.0,3300.0,8.63243,-25.21315,0,-1,0
45.8,18.9,197.0,4150.0,8.18658,-26.45978,0,0,0
48.4,16.3,220.0,5400.0,8.03659,-26.86127,0,0,2
46.1,18.2,178.0,3250.0,8.85664,-24.55644,0,1,1
35.7,16.9,185.0,3150.0,8.96472,-26.40943,0,1,0
41.5,18.5,201.0,4000.0,8.8964,-26.06967,0,0,0
46.6,14.2,210.0,4850.0,8.38289,-26.86352,0,1,2
46.7,15.3,219.0,5200.0,8.22673,-25.4276,0,0,2
49.9,16.1,213.0,5400.0,8.3639,-26.15531,0,0,2
42.3,21.2,191.0,4150.0,8.87988,-25.18543,0,0,0
46.8,16.5,189.0,3650.0,9.65061,-24.48153,0,1,1
48.4,14.6,213.0,5850.0,7.8208,-25.48025,0,0,2
40.9,13.7,214.0,4650.0,8.19579,-25.3933,1,1,2
35.9,19.2,189.0,3800.0,9.22286,-25.03474,0,1,0
52.2,18.8,197.0,3450.0,9.77528,-24.56481,0,0,1
46.2,17.5,187.0,3650.0,9.61734,-24.66188,0,1,1
50.8,18.5,201.0,4450.0,9.45827,-24.35575,0,0,1
40.8,18.9,208.0,4300.0,8.48204,-26.57941,0,0,0
40.5,18.9,180.0,3950.0,8.90027,-25.11609,1,0,0
46.4,17.8,191.0,3700.0,9.37369,-24.52896,0,1,1
38.8,20.0,190.0,3950.0,9.18985,-25.12255,0,0,0
47.7,15.0,216.0,4750.0,8.53018,-26.72751,0,1,2
49.5,16.2,229.0,5800.0,8.49854,-26.74809,0,0,2
50.5,15.2,216.0,5000.0,8.24691,-26.18466,0,1,2
37.9,18.6,172.0,3150.0,8.38404,-25.19837,1,1,0
53.5,19.9,205.0,4500.0,10.02544,-24.90816,1,0,1
42.4,17.3,181.0,3600.0,9.35138,-24.6879,0,1,1
50.5,15.9,225.0,5400.0,8.65803,-26.57585,1,0,2
35.5,17.5,190.0,3700.0,8.70642,-26.15003,0,1,0
39.2,19.6,195.0,4675.0,9.4606,-24.89958,1,0,0
36.9,18.6,189.0,3500.0,8.59147,-26.08165,0,1,0
50.8,19.0,210.0,4100.0,9.98044,-24.68741,0,0,1
37.8,20.0,190.0,4250.0,9.51929,-25.69199,0,0,0
40.2,17.0,176.0,3450.0,9.30722,-25.61039,0,1,0
44.4,17.3,219.0,5250.0,8.13746,-26.79093,0,0,2
34.1,18.1,193.0,3475.0,8.733381696969701,-25.68629154078549,0,-1,0
46.4,18.6,190.0,3450.0,9.32105,-24.64162,0,1,1
46.1,15.1,215.0,5100.0,7.83733,-25.42826,0,0,2
49.4,15.8,216.0,4925.0,8.03624,-26.06594,0,0,2
39.8,19.1,184.0,4650.0,8.733381696969701,-25.68629154078549,1,0,0
45.2,15.8,215.0,5300.0,8.55868,-26.67799,0,0,2
51.5,16.3,230.0,5500.0,8.78557,-25.76147,0,0,2
46.5,13.5,210.0,4550.0,7.9953,-25.32829,0,1,2
39.3,20.6,190.0,3650.0,8.66496,-25.29805,0,0,0
43.3,14.0,208.0,4575.0,8.4207,-26.38092,0,1,2
43.2,19.0,197.0,4775.0,9.31735,-25.45171,0,0,0
44.1,19.7,196.0,4400.0,9.2372,-24.52698,0,0,0
38.5,17.9,190.0,3325.0,8.9846,-25.57956,1,1,0
41.6,18.0,192.0,3950.0,8.85562,-26.09294,0,0,0
47.4,14.6,212.0,4725.0,8.19101,-26.24369,0,1,2
40.2,17.1,193.0,3400.0,9.2881,-25.54976,0,1,0
39.1,18.7,181.0,3750.0,8.733381696969701,-25.68629154078549,0,0,0
45.9,17.1,190.0,3575.0,9.12277,-24.90024,0,1,1
45.3,13.7,210.0,4300.0,8.37615,-26.72791,0,1,2
41.3,20.3,194.0,3550.0,9.14863,-26.09635,0,0,0
37.6,17.0,185.0,3600.0,8.58063,-26.21569,0,1,0
46.2,14.4,214.0,4650.0,8.24253,-26.8154,0,-1,2
42.5,16.7,187.0,3350.0,9.36668,-24.45195,0,1,1
47.5,15.0,218.0,4950.0,8.29671,-26.08547,0,1,2
39.5,17.4,186.0,3800.0,8.94956,-24.69454,0,1,0
50.2,14.3,218.0,5700.0,7.8962,-25.37746,0,0,2
