Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Clutch Completion,Sex,Species
49.6,15.0,216.0,4750.0,8.26548,-26.7699,0,0,2
41.7,14.7,210.0,4700.0,8.12311,-26.44815,0,1,2
42.5,16.7,187.0,3350.0,9.36668,-24.45195,0,1,1
42.3,21.2,191.0,4150.0,8.87988,-25.18543,0,0,0
38.8,17.6,191.0,3275.0,8.88098,-25.89741,0,1,0
41.1,17.5,190.0,3900.0,8.94365,-26.06943,0,0,0
49.6,16.0,225.0,5700.0,8.38324,-26.84272,1,0,2
37.6,17.0,185.0,3600.0,8.58063,-26.21569,0,1,0
40.8,18.9,208.0,4300.0,8.48204,-26.57941,0,0,0
52.0,20.7,210.0,4800.0,9.43146,-24.6844,0,0,1
55.8,19.8,207.0,4000.0,9.70465,-24.53494,0,0,1
45.8,14.6,210.0,4200.0,7.79958,-25.62618,0,1,2
40.1,18.9,188.0,4300.0,8.51362,-26.55602,0,0,0
43.2,18.5,192.0,4100.0,8.97025,-26.03679,0,0,0
35.9,16.6,190.0,3050.0,8.47781,-26.07821,1,1,0
36.2,17.2,187.0,3150.0,9.04296,-26.19444,1,1,0
39.6,18.8,190.0,4600.0,9.49106,-24.10255,0,0,0
46.5,17.9,192.0,3500.0,9.03935,-24.30229,1,1,1
46.2,14.1,217.0,4375.0,8.30231,-25.96013,0,1,2
53.4,15.8,219.0,5500.0,8.41017,-26.33867,0,0,2
34.6,17.2,189.0,3200.0,7.69778,-26.5387,0,1,0
36.5,18.0,182.0,3150.0,9.68933,-24.4228,0,1,0
45.1,14.4,210.0,4400.0,8.51951,-27.01854,0,1,2
46.5,14.8,217.0,5200.0,8.58487,-26.5929,0,1,2
35.5,17.5,190.0,3700.0,8.70642,-26.15003,0,1,0
46.2,14.5,209.0,4800.0,7.84057,-25.37899,0,1,2
37.3,17.8,191.0,3350.0,8.32718,-26.38396,0,1,0
40.8,18.4,195.0,3900.0,8.733381696969698,-25.6862915407855,0,0,0
36.0,17.9,190.0,3450.0,9.51784,-25.07683,0,1,0
49.5,16.2,229.0,5800.0,8.49854,-26.74809,0,0,2
