Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Island,Clutch Completion,Sex,Species
52.0,20.7,210.0,4800.0,9.43146,-24.6844,2,0,0,1
46.8,16.1,215.0,5500.0,8.32359,-26.05756,1,0,0,2
46.2,14.9,221.0,5300.0,8.60092,-26.84374,1,0,0,2
37.3,17.8,191.0,3350.0,8.32718,-26.38396,2,0,1,0
37.8,17.3,180.0,3700.0,0.0,0.0,0,0,-1,0
40.6,19.0,199.0,4000.0,9.22537,-25.60826,0,0,0,0
40.9,18.9,184.0,3900.0,8.79665,-25.14591,2,0,0,0
48.8,16.2,222.0,6000.0,8.33825,-25.88547,1,0,0,2
45.5,17.0,196.0,3500.0,9.36493,-24.66259,2,0,1,1
42.0,13.5,210.0,4150.0,7.63884,-25.52627,1,0,1,2
45.7,17.3,193.0,3600.0,9.415,-24.805,2,0,1,1
40.2,17.1,193.0,3400.0,9.2881,-25.54976,2,0,1,0
54.3,15.7,231.0,5650.0,8.49662,-26.84166,1,0,0,2
35.9,16.6,190.0,3050.0,8.47781,-26.07821,0,1,1,0
46.1,18.2,178.0,3250.0,8.85664,-24.55644,2,0,1,1
46.9,16.6,192.0,2700.0,9.80589,-24.73735,2,1,1,1
34.5,18.1,187.0,2900.0,8.41837,-26.54718,1,0,1,0
42.3,21.2,191.0,4150.0,8.87988,-25.18543,2,0,0,0
47.0,17.3,185.0,3700.0,8.72037,-24.80526,2,0,1,1
37.9,18.6,193.0,2925.0,9.02642,-25.86482,1,0,1,0
46.3,15.8,215.0,5050.0,7.90971,-25.38157,1,0,0,2
46.7,17.9,195.0,3300.0,9.74144,-24.59467,2,1,1,1
42.5,17.3,187.0,3350.0,9.56534,-24.60882,2,0,1,1
50.5,15.9,225.0,5400.0,8.65803,-26.57585,1,1,0,2
49.6,16.0,225.0,5700.0,8.38324,-26.84272,1,1,0,2
47.2,13.7,214.0,4925.0,7.99184,-26.20538,1,1,1,2
35.9,19.2,189.0,3800.0,9.22286,-25.03474,1,0,1,0
41.1,17.5,190.0,3900.0,8.94365,-26.06943,2,0,0,0
48.4,16.3,220.0,5400.0,8.03659,-26.86127,1,0,0,2
50.4,15.7,222.0,5750.0,8.30166,-26.04117,1,0,0,2
36.9,18.6,189.0,3500.0,8.59147,-26.08165,2,0,1,0
41.6,18.0,192.0,3950.0,8.85562,-26.09294,1,0,0,0
45.7,17.0,195.0,3650.0,9.26715,-24.31912,2,0,1,1
45.1,14.5,215.0,5000.0,7.6322,-25.46569,1,0,1,2
51.5,18.7,187.0,3250.0,9.6895,-24.43062,2,0,0,1
39.1,18.7,181.0,3750.0,0.0,0.0,0,0,0,0
32.1,15.5,188.0,3050.0,8.79787,-26.61075,2,0,1,0
50.5,15.9,222.0,5550.0,8.46894,-26.60436,1,0,0,2
46.2,14.4,214.0,4650.0,8.24253,-26.8154,1,0,-1,2
43.8,13.9,208.0,4300.0,8.58319,-26.84415,1,0,1,2
42.0,20.2,190.0,4250.0,9.13362,-25.09368,0,0,-1,0
45.8,14.2,219.0,4700.0,8.60447,-26.61601,1,0,1,2
43.2,19.0,197.0,4775.0,9.31735,-25.45171,1,0,0,0
38.8,17.6,191.0,3275.0,8.88098,-25.89741,0,0,1,0
47.6,14.5,215.0,5400.0,8.2345,-25.54456,1,0,0,2
46.5,13.5,210.0,4550.0,7.9953,-25.32829,1,0,1,2
35.1,19.4,193.0,4200.0,8.90002,-26.46254,0,0,0,0
38.7,19.0,195.0,3450.0,9.18528,-25.06691,0,0,1,0
40.6,17.2,187.0,3475.0,9.23408,-26.01549,2,0,0,0
45.3,13.8,208.0,4200.0,8.65015,-26.79053,1,0,1,2
41.3,20.3,194.0,3550.0,9.14863,-26.09635,2,0,0,0
47.5,15.0,218.0,4950.0,8.29671,-26.08547,1,0,1,2
36.0,18.5,186.0,3100.0,9.50772,-25.03492,2,0,1,0
45.1,14.4,210.0,4400.0,8.51951,-27.01854,1,0,1,2
46.4,15.0,216.0,4700.0,8.47938,-26.9547,1,0,1,2
39.8,19.1,184.0,4650.0,0.0,0.0,2,1,0,0
49.9,16.1,213.0,5400.0,8.3639,-26.15531,1,0,0,2
38.1,16.5,198.0,3825.0,8.43951,-26.57563,1,0,1,0
37.8,18.3,174.0,3400.0,8.73762,-25.09383,1,0,1,0
42.6,13.7,213.0,4950.0,7.96935,-26.70968,1,0,1,2
47.7,15.0,216.0,4750.0,8.53018,-26.72751,1,0,1,2
52.2,17.1,228.0,5400.0,8.36701,-25.89834,1,0,0,2
50.8,15.7,226.0,5200.0,8.27102,-26.11244,1,0,0,2
43.5,14.2,220.0,4700.0,8.64931,-26.68867,1,0,1,2
49.0,19.5,210.0,3950.0,9.53262,-24.66867,2,0,0,1
42.0,19.5,200.0,4050.0,8.48095,-26.3146,1,0,0,0
37.6,17.0,185.0,3600.0,8.58063,-26.21569,1,0,1,0
49.8,16.8,230.0,5700.0,8.47067,-26.69166,1,0,0,2
39.6,18.8,190.0,4600.0,9.49106,-24.10255,2,0,0,0
48.7,14.1,210.0,4450.0,8.14705,-25.46172,1,0,1,2
50.0,15.2,218.0,5700.0,8.2554,-25.40075,1,0,0,2
36.4,17.0,195.0,3325.0,9.17847,-25.23061,2,0,1,0
42.9,17.6,196.0,4700.0,8.63259,-26.23027,0,0,0,0
41.1,17.6,182.0,3200.0,0.0,0.0,0,0,1,0
37.3,16.8,192.0,3000.0,9.06829,-25.85203,2,0,1,0
38.1,17.0,181.0,3175.0,9.79532,-25.27385,1,0,1,0
49.6,18.2,193.0,3775.0,9.4618,-24.70615,2,1,0,1
33.5,19.0,190.0,3600.0,7.88863,-26.63085,0,0,1,0
42.9,13.1,215.0,5000.0,7.68528,-25.39181,1,0,1,2
36.2,16.1,187.0,3550.0,7.82381,-26.51382,0,0,1,0
41.8,19.4,198.0,4450.0,8.86853,-26.06209,0,1,0,0
55.9,17.0,228.0,5600.0,8.3118,-26.35425,1,0,0,2
40.9,16.8,191.0,3700.0,8.47257,-26.02002,0,0,1,0
33.1,16.1,178.0,2900.0,9.04218,-26.15775,2,0,1,0
50.8,17.3,228.0,5600.0,8.27428,-26.30019,1,0,0,2
43.2,18.5,192.0,4100.0,8.97025,-26.03679,2,0,0,0
50.2,14.3,218.0,5700.0,7.8962,-25.37746,1,0,0,2
41.1,18.6,189.0,3325.0,9.32277,-26.09989,0,0,0,0
42.1,19.1,195.0,4000.0,9.05736,-25.81513,0,0,0,0
35.3,18.9,187.0,3800.0,9.21292,-24.3613,1,0,1,0
47.5,16.8,199.0,3900.0,9.07825,-25.1455,2,0,1,1
50.8,18.5,201.0,4450.0,9.45827,-24.35575,2,0,0,1
38.6,21.2,191.0,3800.0,0.0,0.0,0,0,0,0
37.8,20.0,190.0,4250.0,9.51929,-25.69199,1,0,0,0
35.0,17.9,192.0,3725.0,8.84451,-26.28055,1,0,1,0
46.1,15.1,215.0,5100.0,7.83733,-25.42826,1,0,0,2
49.3,15.7,217.0,5850.0,8.07137,-25.52473,1,0,0,2
40.7,17.0,190.0,3725.0,9.05674,-25.79529,2,0,0,0
39.7,18.4,190.0,3900.0,9.29808,-25.23453,0,0,0,0
39.6,17.7,186.0,3500.0,8.46616,-26.12989,1,0,1,0
37.6,19.3,181.0,3300.0,9.41131,-25.04169,2,1,1,0
36.2,17.2,187.0,3150.0,9.04296,-26.19444,0,1,1,0
44.1,18.0,210.0,4000.0,9.10702,-26.01363,0,0,0,0
39.5,16.7,178.0,3250.0,9.69756,-25.11223,2,0,1,0
38.1,18.6,190.0,3700.0,8.10277,-26.50086,2,0,1,0
48.1,16.4,199.0,3325.0,9.46929,-24.48403,2,0,1,1
37.7,16.0,183.0,3075.0,9.2151,-26.2253,1,0,1,0
39.6,17.2,196.0,3550.0,8.33524,-26.55351,0,0,1,0
49.7,18.6,195.0,3600.0,9.75486,-24.31198,2,0,0,1
45.5,13.9,210.0,4200.0,8.47829,-26.61788,1,1,1,2
43.4,14.4,218.0,4600.0,8.23468,-26.18599,1,0,1,2
34.6,17.2,189.0,3200.0,7.69778,-26.5387,0,0,1,0
54.2,20.8,201.0,4300.0,9.49283,-24.59996,2,0,0,1
44.5,15.7,217.0,4875.0,8.04111,-26.18444,1,0,2,2
45.3,13.7,210.0,4300.0,8.37615,-26.72791,1,0,1,2
46.6,17.8,193.0,3800.0,8.95063,-24.59897,2,0,1,1
51.3,19.2,193.0,3650.0,9.29078,-24.7557,2,0,0,1
41.0,20.0,203.0,4725.0,9.01079,-26.38085,1,0,0,0
42.5,20.7,197.0,4500.0,8.67538,-25.13993,0,0,0,0
43.1,19.2,197.0,3500.0,8.86495,-26.1396,0,1,0,0
36.5,18.0,182.0,3150.0,9.68933,-24.4228,2,0,1,0
39.5,17.8,188.0,3300.0,9.66523,-25.0602,2,0,1,0
43.6,13.9,217.0,4900.0,8.27141,-26.7765,1,0,1,2
53.5,19.9,205.0,4500.0,10.02544,-24.90816,2,1,0,1
50.5,18.4,200.0,3400.0,8.9399,-23.89017,2,1,1,1
49.1,14.5,212.0,4625.0,8.35802,-26.2766,1,0,1,2
40.5,17.9,187.0,3200.0,8.08138,-25.49448,1,0,1,0
50.5,19.6,201.0,4050.0,9.8059,-24.7294,2,0,0,1
52.0,19.0,197.0,4150.0,9.36799,-24.47142,2,1,0,1
35.6,17.5,191.0,3175.0,8.75984,-25.97696,2,0,1,0
50.5,15.2,216.0,5000.0,8.24691,-26.18466,1,0,1,2
37.2,19.4,184.0,3900.0,8.3554,-26.44787,0,0,0,0
46.8,15.4,215.0,5150.0,8.1631,-25.38017,1,0,0,2
46.1,13.2,211.0,4500.0,7.993,-25.5139,1,0,1,2
46.4,17.8,191.0,3700.0,9.37369,-24.52896,2,0,1,1
43.5,18.1,202.0,3400.0,9.37608,-24.40753,2,1,1,1
45.8,18.9,197.0,4150.0,8.18658,-26.45978,0,0,0,0
47.5,14.0,212.0,4875.0,8.12691,-26.23613,1,0,1,2
50.8,19.0,210.0,4100.0,9.98044,-24.68741,2,0,0,1
47.3,13.8,216.0,4725.0,8.25818,-26.23886,1,0,-1,2
35.7,18.0,202.0,3550.0,8.46531,-26.05621,2,0,1,0
48.1,15.1,209.0,5500.0,8.45738,-26.22664,1,0,0,2
48.5,15.0,219.0,4850.0,8.10231,-26.18763,1,0,1,2
40.8,18.4,195.0,3900.0,0.0,0.0,2,0,0,0
46.2,14.5,209.0,4800.0,7.84057,-25.37899,1,0,1,2
51.3,19.9,198.0,3700.0,8.79581,-24.36088,2,0,0,1
48.7,15.7,208.0,5350.0,8.14776,-26.84506,1,0,0,2
39.7,18.9,184.0,3550.0,8.85699,-25.80208,1,0,0,0
52.1,17.0,230.0,5550.0,8.27595,-26.11657,1,0,0,2
46.6,14.2,210.0,4850.0,8.38289,-26.86352,1,0,1,2
45.6,19.4,194.0,3525.0,9.46985,-24.65786,2,0,1,1
41.1,19.1,188.0,4100.0,8.71078,-25.81012,1,0,0,0
49.2,15.2,221.0,6300.0,8.27376,-25.00169,1,0,0,2
51.5,16.3,230.0,5500.0,8.78557,-25.76147,1,0,0,2
48.6,16.0,230.0,5800.0,8.5964,-26.71199,1,0,0,2
36.2,17.3,187.0,3300.0,8.90723,-26.30037,2,0,1,0
45.5,15.0,220.0,5000.0,8.63604,-26.7489,1,0,0,2
45.4,14.6,211.0,4800.0,8.24515,-25.46782,1,0,1,2
50.9,17.9,196.0,3675.0,9.43684,-24.16566,2,0,1,1
42.7,18.3,196.0,4075.0,8.91434,-26.42018,1,0,0,0
45.8,14.6,210.0,4200.0,7.79958,-25.62618,1,0,1,2
46.5,14.8,217.0,5200.0,8.58487,-26.5929,1,0,1,2
47.2,15.5,215.0,4975.0,8.30817,-26.21651,1,0,1,2
48.2,15.6,221.0,5100.0,8.24651,-26.66958,1,0,0,2
46.0,21.5,194.0,4200.0,9.11616,-24.77227,0,0,0,0
40.3,18.0,195.0,3250.0,8.36821,-25.33302,0,0,1,0
41.3,21.1,195.0,4400.0,8.74802,-26.37809,1,0,0,0
35.7,17.0,189.0,3350.0,8.96436,-23.90309,0,0,1,0
38.3,19.2,189.0,3950.0,9.07826,-26.12417,2,0,0,0
45.5,14.5,212.0,4750.0,8.15566,-26.22848,1,0,1,2
38.6,17.2,199.0,3750.0,8.77322,-26.48973,1,0,1,0
45.1,14.5,207.0,5050.0,7.97408,-25.53768,1,0,1,2
50.6,19.4,193.0,3800.0,9.28153,-24.97134,2,1,0,1
36.7,18.8,187.0,3800.0,7.88494,-26.24837,0,0,1,0
48.5,17.5,191.0,3400.0,9.42666,-24.26375,2,0,0,1
37.0,16.5,185.0,3400.0,8.61651,-26.07021,2,1,1,0
44.0,13.6,208.0,4350.0,8.01979,-26.68311,1,0,1,2
45.5,13.7,214.0,4650.0,7.77672,-25.4168,1,0,1,2
35.7,16.9,185.0,3150.0,8.96472,-26.40943,1,0,1,0
40.9,13.7,214.0,4650.0,8.19579,-25.3933,1,1,1,2
46.4,18.6,190.0,3450.0,9.32105,-24.64162,2,0,1,1
45.2,15.8,215.0,5300.0,8.55868,-26.67799,1,0,0,2
46.8,16.5,189.0,3650.0,9.65061,-24.48153,2,0,1,1
47.5,14.2,209.0,4600.0,8.39299,-26.78733,1,0,1,2
36.0,17.8,195.0,3450.0,8.94332,-25.79189,2,0,1,0
44.5,14.7,214.0,4850.0,8.20106,-26.16524,1,0,1,2
46.7,15.3,219.0,5200.0,8.22673,-25.4276,1,0,0,2
40.2,20.1,200.0,3975.0,8.95998,-26.32601,2,0,0,0
37.7,19.8,198.0,3500.0,9.11066,-26.42563,0,1,0,0
40.5,18.9,180.0,3950.0,8.90027,-25.11609,1,1,0,0
50.2,18.7,198.0,3775.0,9.39305,-24.25255,2,0,1,1
39.6,18.1,186.0,4450.0,8.49915,-26.42406,2,0,0,0
52.7,19.8,197.0,3725.0,9.00642,-24.61867,2,0,0,1
42.8,14.2,209.0,4700.0,7.63452,-25.46327,1,0,1,2
42.2,19.5,197.0,4275.0,8.80186,-26.41218,1,0,0,0
41.7,14.7,210.0,4700.0,8.12311,-26.44815,1,0,1,2
36.6,18.4,184.0,3475.0,8.68744,-25.8306,2,0,1,0
45.2,13.8,215.0,4750.0,8.24694,-26.65359,1,0,1,2
49.6,15.0,216.0,4750.0,8.26548,-26.7699,1,0,0,2
38.9,17.8,181.0,3625.0,9.18718,-25.21799,0,1,1,0
40.6,18.8,193.0,3800.0,8.56674,-25.98843,1,0,0,0
46.0,18.9,195.0,4150.0,8.47173,-24.29229,2,0,1,1
40.6,18.6,183.0,3550.0,8.93997,-25.36288,1,0,0,0
37.9,18.6,172.0,3150.0,8.38404,-25.19837,1,1,1,0
49.5,16.1,224.0,5650.0,8.83352,-25.69195,1,0,0,2
36.4,17.1,184.0,2850.0,8.62623,-26.1165,1,0,1,0
49.5,16.2,229.0,5800.0,8.49854,-26.74809,1,0,0,2
49.4,15.8,216.0,4925.0,8.03624,-26.06594,1,0,0,2
43.3,13.4,209.0,4400.0,8.13643,-25.32176,1,0,1,2
38.5,17.9,190.0,3325.0,8.9846,-25.57956,0,1,1,0
50.1,17.9,190.0,3400.0,9.46819,-24.45721,2,0,1,1
45.2,16.6,191.0,3250.0,9.62357,-24.78984,2,0,1,1
44.9,13.8,212.0,4750.0,8.11238,-26.20372,1,0,1,2
40.8,18.9,208.0,4300.0,8.48204,-26.57941,2,0,0,0
38.8,17.2,180.0,3800.0,9.63954,-25.29856,1,0,0,0
55.1,16.0,230.0,5850.0,8.08354,-26.18161,1,0,0,2
42.5,16.7,187.0,3350.0,9.36668,-24.45195,2,0,1,1
53.4,15.8,219.0,5500.0,8.41017,-26.33867,1,0,0,2
51.3,14.2,218.0,5300.0,8.15426,-26.3433,1,0,0,2
40.3,18.5,196.0,4350.0,8.39459,-26.01152,2,0,0,0
40.2,17.0,176.0,3450.0,9.30722,-25.61039,0,0,1,0
51.4,19.0,201.0,3950.0,9.43782,-24.36202,2,0,0,1
36.8,18.5,193.0,3500.0,8.98705,-25.57647,2,0,1,0
44.4,17.3,219.0,5250.0,8.13746,-26.79093,1,0,0,2
49.1,14.8,220.0,5150.0,7.89744,-26.63405,1,0,1,2
51.3,18.2,197.0,3750.0,8.63701,-24.84059,2,0,0,1
50.3,20.0,197.0,3300.0,10.02019,-24.54704,2,1,0,1
52.0,18.1,201.0,4050.0,9.0233,-24.38933,2,0,0,1
36.3,19.5,190.0,3800.0,8.57087,-26.22227,2,0,0,0
49.0,19.6,212.0,4300.0,9.34089,-24.45189,2,0,0,1
35.5,17.5,190.0,3700.0,8.70642,-26.15003,0,0,1,0
37.8,17.1,186.0,3300.0,8.63243,-25.21315,0,0,-1,0
38.2,18.1,185.0,3950.0,8.43423,-25.22664,1,0,0,0
36.0,17.1,187.0,3700.0,8.93465,-26.07081,2,0,1,0
43.2,14.5,208.0,4450.0,8.48367,-26.86485,1,0,1,2
45.0,15.4,220.0,5050.0,8.63488,-26.75621,1,0,0,2
50.1,15.0,225.0,5000.0,8.50153,-26.61414,1,0,0,2
39.3,20.6,190.0,3650.0,8.66496,-25.29805,0,0,0,0
41.1,19.0,182.0,3425.0,0.0,0.0,2,0,0,0
43.2,16.6,187.0,2900.0,9.35416,-25.01185,2,1,1,1
58.0,17.8,181.0,3700.0,9.14382,-24.57994,2,1,1,1
52.2,18.8,197.0,3450.0,9.77528,-24.56481,2,0,0,1
