Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Island,Clutch Completion,Sex
54.3,15.7,231.0,5650.0,8.49662,-26.84166,1,0,0
50.5,19.6,201.0,4050.0,9.8059,-24.7294,2,0,0
48.7,15.7,208.0,5350.0,8.14776,-26.84506,1,0,0
51.5,16.3,230.0,5500.0,8.78557,-25.76147,1,0,0
51.1,16.5,225.0,5250.0,8.2066,-26.36863,1,0,0
42.2,19.5,197.0,4275.0,8.80186,-26.41218,1,0,0
49.1,14.5,212.0,4625.0,8.35802,-26.2766,1,0,1
40.5,17.9,187.0,3200.0,8.08138,-25.49448,1,0,1
46.9,16.6,192.0,2700.0,9.80589,-24.73735,2,1,1
50.2,14.3,218.0,5700.0,7.8962,-25.37746,1,0,0
51.7,20.3,194.0,3775.0,8.68747,-24.38751,2,0,0
55.9,17.0,228.0,5600.0,8.3118,-26.35425,1,0,0
34.4,18.4,184.0,3325.0,8.47827,-25.23319,0,0,1
41.4,18.5,202.0,3875.0,9.59462,-25.42621,0,0,0
50.0,16.3,230.0,5700.0,8.14756,-25.39369,1,0,0
43.2,14.5,208.0,4450.0,8.48367,-26.86485,1,0,1
48.4,14.6,213.0,5850.0,7.8208,-25.48025,1,0,0
35.1,19.4,193.0,4200.0,8.90002,-26.46254,0,0,0
39.6,20.7,191.0,3900.0,8.80967,-26.78958,1,0,1
37.0,16.9,185.0,3000.0,9.36392,-25.01745,2,0,1
38.9,18.8,190.0,3600.0,8.36936,-26.11199,2,0,1
43.2,19.0,197.0,4775.0,9.31735,-25.45171,1,0,0
50.5,15.9,225.0,5400.0,8.65803,-26.57585,1,1,0
39.6,17.7,186.0,3500.0,8.46616,-26.12989,1,0,1
48.5,15.0,219.0,4850.0,8.10231,-26.18763,1,0,1
49.0,19.5,210.0,3950.0,9.53262,-24.66867,2,0,0
37.7,18.7,180.0,3600.0,8.66271,-25.0639,1,0,0
40.2,17.0,176.0,3450.0,9.30722,-25.61039,0,0,1
37.8,20.0,190.0,4250.0,9.51929,-25.69199,1,0,0
46.5,14.4,217.0,4900.0,8.48789,-26.83006,1,0,1
46.7,17.9,195.0,3300.0,9.74144,-24.59467,2,1,1
36.3,19.5,190.0,3800.0,8.57087,-26.22227,2,0,0
39.6,17.2,196.0,3550.0,8.33524,-26.55351,0,0,1
42.0,19.5,200.0,4050.0,8.48095,-26.3146,1,0,0
33.1,16.1,178.0,2900.0,9.04218,-26.15775,2,0,1
47.6,18.3,195.0,3850.0,8.83502,-24.65859,2,0,1
37.6,17.0,185.0,3600.0,8.58063,-26.21569,1,0,1
43.5,18.1,202.0,3400.0,9.37608,-24.40753,2,1,1
36.0,18.5,186.0,3100.0,9.50772,-25.03492,2,0,1
46.8,16.1,215.0,5500.0,8.32359,-26.05756,1,0,0
53.5,19.9,205.0,4500.0,10.02544,-24.90816,2,1,0
41.1,19.1,188.0,4100.0,8.71078,-25.81012,1,0,0
41.1,18.1,205.0,4300.0,8.77018,-25.83352,2,0,0
34.6,21.1,198.0,4400.0,8.55583,-25.22588,0,0,0
41.5,18.5,201.0,4000.0,8.8964,-26.06967,2,0,0
39.7,17.7,193.0,3200.0,9.02657,-26.06203,1,0,1
38.6,17.0,188.0,2900.0,9.18021,-25.77264,0,0,1
50.6,19.4,193.0,3800.0,9.28153,-24.97134,2,1,0
45.6,20.3,191.0,4600.0,8.65466,-26.32909,1,0,0
37.3,17.8,191.0,3350.0,8.32718,-26.38396,2,0,1
47.7,15.0,216.0,4750.0,8.53018,-26.72751,1,0,1
44.0,13.6,208.0,4350.0,8.01979,-26.68311,1,0,1
37.7,16.0,183.0,3075.0,9.2151,-26.2253,1,0,1
46.1,18.2,178.0,3250.0,8.85664,-24.55644,2,0,1
49.5,19.0,200.0,3800.0,9.63074,-24.34684,2,1,0
39.5,17.8,188.0,3300.0,9.66523,-25.0602,2,0,1
40.5,18.9,180.0,3950.0,8.90027,-25.11609,1,1,0
43.6,13.9,217.0,4900.0,8.27141,-26.7765,1,0,1
40.6,17.2,187.0,3475.0,9.23408,-26.01549,2,0,0
50.9,19.1,196.0,3550.0,10.02372,-24.86594,2,0,0
46.2,14.9,221.0,5300.0,8.60092,-26.84374,1,0,0
40.8,18.4,195.0,3900.0,8.733381696969698,-25.6862915407855,2,0,0
52.2,18.8,197.0,3450.0,9.77528,-24.56481,2,0,0
51.3,19.9,198.0,3700.0,8.79581,-24.36088,2,0,0
50.5,18.4,200.0,3400.0,8.9399,-23.89017,2,1,1
39.0,17.1,191.0,3050.0,9.19031,-25.73722,0,0,1
49.0,19.6,212.0,4300.0,9.34089,-24.45189,2,0,0
50.8,19.0,210.0,4100.0,9.98044,-24.68741,2,0,0
46.3,15.8,215.0,5050.0,7.90971,-25.38157,1,0,0
52.0,19.0,197.0,4150.0,9.36799,-24.47142,2,1,0
44.1,19.7,196.0,4400.0,9.2372,-24.52698,2,0,0
46.0,21.5,194.0,4200.0,9.11616,-24.77227,0,0,0
41.5,18.3,195.0,4300.0,8.52566,-26.0245,0,0,0
46.9,14.6,222.0,4875.0,7.8881,-26.04726,1,0,1
37.8,17.1,186.0,3300.0,8.63243,-25.21315,0,0,-1
39.6,18.1,186.0,4450.0,8.49915,-26.42406,2,0,0
45.7,17.3,193.0,3600.0,9.415,-24.805,2,0,1
41.7,14.7,210.0,4700.0,8.12311,-26.44815,1,0,1
44.5,14.7,214.0,4850.0,8.20106,-26.16524,1,0,1
42.3,21.2,191.0,4150.0,8.87988,-25.18543,2,0,0
42.5,17.3,187.0,3350.0,9.56534,-24.60882,2,0,1
51.5,18.7,187.0,3250.0,9.6895,-24.43062,2,0,0
40.6,19.0,199.0,4000.0,9.22537,-25.60826,0,0,0
38.1,18.6,190.0,3700.0,8.10277,-26.50086,2,0,1
37.6,19.3,181.0,3300.0,9.41131,-25.04169,2,1,1
49.8,15.9,229.0,5950.0,8.29226,-26.21019,1,0,0
42.8,14.2,209.0,4700.0,7.63452,-25.46327,1,0,1
37.2,19.4,184.0,3900.0,8.3554,-26.44787,0,0,0
33.5,19.0,190.0,3600.0,7.88863,-26.63085,0,0,1
49.6,16.0,225.0,5700.0,8.38324,-26.84272,1,1,0
47.5,14.0,212.0,4875.0,8.12691,-26.23613,1,0,1
49.3,19.9,203.0,4050.0,9.88809,-24.59513,2,0,0
35.9,19.2,189.0,3800.0,9.22286,-25.03474,1,0,1
42.0,13.5,210.0,4150.0,7.63884,-25.52627,1,0,1
49.6,18.2,193.0,3775.0,9.4618,-24.70615,2,1,0
45.1,14.5,215.0,5000.0,7.6322,-25.46569,1,0,1
47.5,15.0,218.0,4950.0,8.29671,-26.08547,1,0,1
41.1,19.0,182.0,3425.0,8.733381696969698,-25.6862915407855,2,0,0
38.8,20.0,190.0,3950.0,9.18985,-25.12255,2,0,0
50.8,18.5,201.0,4450.0,9.45827,-24.35575,2,0,0
49.1,14.8,220.0,5150.0,7.89744,-26.63405,1,0,1
42.5,20.7,197.0,4500.0,8.67538,-25.13993,0,0,0
49.0,16.1,216.0,5550.0,8.10417,-25.50562,1,1,0
49.5,16.2,229.0,5800.0,8.49854,-26.74809,1,0,0
37.6,19.1,194.0,3750.0,9.108,-25.89677,1,0,0
41.1,18.2,192.0,4050.0,8.62264,-26.60023,1,0,0
46.4,15.6,221.0,5000.0,8.35078,-26.70783,1,0,0
41.6,18.0,192.0,3950.0,8.85562,-26.09294,1,0,0
41.3,21.1,195.0,4400.0,8.74802,-26.37809,1,0,0
50.3,20.0,197.0,3300.0,10.02019,-24.54704,2,1,0
48.2,14.3,210.0,4600.0,7.6887,-25.50811,1,0,1
41.1,18.6,189.0,3325.0,9.32277,-26.09989,0,0,0
37.8,18.1,193.0,3750.0,8.97533,-26.03495,2,0,0
39.2,19.6,195.0,4675.0,9.4606,-24.89958,0,1,0
55.1,16.0,230.0,5850.0,8.08354,-26.18161,1,0,0
45.7,17.0,195.0,3650.0,9.26715,-24.31912,2,0,1
49.8,16.8,230.0,5700.0,8.47067,-26.69166,1,0,0
38.1,16.5,198.0,3825.0,8.43951,-26.57563,1,0,1
39.6,18.8,190.0,4600.0,9.49106,-24.10255,2,0,0
46.8,15.4,215.0,5150.0,8.1631,-25.38017,1,0,0
37.9,18.6,193.0,2925.0,9.02642,-25.86482,1,0,1
38.8,17.6,191.0,3275.0,8.88098,-25.89741,0,0,1
42.0,20.2,190.0,4250.0,9.13362,-25.09368,0,0,-1
46.8,16.5,189.0,3650.0,9.65061,-24.48153,2,0,1
51.4,19.0,201.0,3950.0,9.43782,-24.36202,2,0,0
43.8,13.9,208.0,4300.0,8.58319,-26.84415,1,0,1
47.2,15.5,215.0,4975.0,8.30817,-26.21651,1,0,1
47.5,14.2,209.0,4600.0,8.39299,-26.78733,1,0,1
45.8,14.6,210.0,4200.0,7.79958,-25.62618,1,0,1
40.7,17.0,190.0,3725.0,9.05674,-25.79529,2,0,0
37.5,18.5,199.0,4475.0,8.56708,-26.49288,2,0,0
51.3,14.2,218.0,5300.0,8.15426,-26.3433,1,0,0
34.6,17.2,189.0,3200.0,7.69778,-26.5387,0,0,1
39.7,18.4,190.0,3900.0,9.29808,-25.23453,0,0,0
32.1,15.5,188.0,3050.0,8.79787,-26.61075,2,0,1
43.1,19.2,197.0,3500.0,8.86495,-26.1396,0,1,0
44.1,18.0,210.0,4000.0,9.10702,-26.01363,0,0,0
35.7,18.0,202.0,3550.0,8.46531,-26.05621,2,0,1
42.4,17.3,181.0,3600.0,9.35138,-24.6879,2,0,1
34.5,18.1,187.0,2900.0,8.41837,-26.54718,1,0,1
48.1,15.1,209.0,5500.0,8.45738,-26.22664,1,0,0
44.4,17.3,219.0,5250.0,8.13746,-26.79093,1,0,0
45.4,18.7,188.0,3525.0,8.64701,-24.62717,2,0,1
40.9,16.8,191.0,3700.0,8.47257,-26.02002,0,0,1
45.5,13.7,214.0,4650.0,7.77672,-25.4168,1,0,1
43.2,16.6,187.0,2900.0,9.35416,-25.01185,2,1,1
48.4,14.4,203.0,4625.0,8.16582,-26.13971,1,0,1
37.3,16.8,192.0,3000.0,9.06829,-25.85203,2,0,1
49.9,16.1,213.0,5400.0,8.3639,-26.15531,1,0,0
37.0,16.5,185.0,3400.0,8.61651,-26.07021,2,1,1
50.0,19.5,196.0,3900.0,8.92069,-24.23592,2,1,0
48.1,16.4,199.0,3325.0,9.46929,-24.48403,2,0,1
45.4,14.6,211.0,4800.0,8.24515,-25.46782,1,0,1
39.2,21.1,196.0,4150.0,9.15308,-25.03469,2,0,0
43.3,14.0,208.0,4575.0,8.4207,-26.38092,1,0,1
45.2,17.8,198.0,3950.0,8.88942,-24.49433,2,0,1
48.8,16.2,222.0,6000.0,8.33825,-25.88547,1,0,0
35.5,16.2,195.0,3350.0,8.56192,-25.95541,1,0,1
49.5,16.1,224.0,5650.0,8.83352,-25.69195,1,0,0
46.5,13.5,210.0,4550.0,7.9953,-25.32829,1,0,1
45.7,13.9,214.0,4400.0,8.6287,-26.60484,1,0,1
43.3,13.4,209.0,4400.0,8.13643,-25.32176,1,0,1
51.3,18.2,197.0,3750.0,8.63701,-24.84059,2,0,0
40.3,18.5,196.0,4350.0,8.39459,-26.01152,2,0,0
38.5,17.9,190.0,3325.0,8.9846,-25.57956,0,1,1
50.7,19.7,203.0,4050.0,9.93727,-24.59066,2,0,0
39.3,20.6,190.0,3650.0,8.66496,-25.29805,0,0,0
50.7,15.0,223.0,5550.0,8.63551,-26.74249,1,0,0
45.1,14.5,207.0,5050.0,7.97408,-25.53768,1,0,1
52.0,18.1,201.0,4050.0,9.0233,-24.38933,2,0,0
37.7,19.8,198.0,3500.0,9.11066,-26.42563,0,1,0
45.5,15.0,220.0,5000.0,8.63604,-26.7489,1,0,0
35.6,17.5,191.0,3175.0,8.75984,-25.97696,2,0,1
44.5,15.7,217.0,4875.0,8.04111,-26.18444,1,0,2
45.5,14.5,212.0,4750.0,8.15566,-26.22848,1,0,1
46.0,18.9,195.0,4150.0,8.47173,-24.29229,2,0,1
36.5,16.6,181.0,2850.0,9.07878,-25.88156,1,0,1
51.3,19.2,193.0,3650.0,9.29078,-24.7557,2,0,0
45.5,13.9,210.0,4200.0,8.47829,-26.61788,1,1,1
36.0,17.8,195.0,3450.0,8.94332,-25.79189,2,0,1
46.7,15.3,219.0,5200.0,8.22673,-25.4276,1,0,0
38.3,19.2,189.0,3950.0,9.07826,-26.12417,2,0,0
50.0,15.3,220.0,5550.0,8.30515,-25.19017,1,0,0
36.2,17.3,187.0,3300.0,8.90723,-26.30037,2,0,1
46.5,14.5,213.0,4400.0,7.90436,-25.3947,1,0,1
52.5,15.6,221.0,5450.0,8.28601,-26.27573,1,0,0
50.5,15.9,222.0,5550.0,8.46894,-26.60436,1,0,0
41.4,18.6,191.0,3700.0,8.35396,-26.27853,1,0,0
40.9,18.9,184.0,3900.0,8.79665,-25.14591,2,0,0
44.5,14.3,216.0,4100.0,7.96621,-25.69327,1,0,-1
46.2,14.1,217.0,4375.0,8.30231,-25.96013,1,0,1
39.8,19.1,184.0,4650.0,8.733381696969698,-25.6862915407855,2,1,0
42.2,18.5,180.0,3550.0,8.04787,-25.49523,2,0,1
48.6,16.0,230.0,5800.0,8.5964,-26.71199,1,0,0
38.7,19.0,195.0,3450.0,9.18528,-25.06691,0,0,1
50.0,15.9,224.0,5350.0,8.20042,-26.39677,1,0,0
46.6,14.2,210.0,4850.0,8.38289,-26.86352,1,0,1
38.6,17.2,199.0,3750.0,8.77322,-26.48973,1,0,1
39.7,17.9,193.0,4250.0,9.25769,-25.88798,2,1,0
46.4,15.0,216.0,4700.0,8.47938,-26.9547,1,0,1
42.7,13.7,208.0,3950.0,8.14567,-26.59467,1,1,1
36.8,18.5,193.0,3500.0,8.98705,-25.57647,2,0,1
40.9,16.6,187.0,3200.0,9.08458,-24.54903,2,0,1
46.6,17.8,193.0,3800.0,8.95063,-24.59897,2,0,1
47.6,14.5,215.0,5400.0,8.2345,-25.54456,1,0,0
47.2,13.7,214.0,4925.0,7.99184,-26.20538,1,1,1
40.2,17.1,193.0,3400.0,9.2881,-25.54976,2,0,1
45.3,13.8,208.0,4200.0,8.65015,-26.79053,1,0,1
40.6,18.8,193.0,3800.0,8.56674,-25.98843,1,0,0
36.2,17.2,187.0,3150.0,9.04296,-26.19444,0,1,1
54.2,20.8,201.0,4300.0,9.49283,-24.59996,2,0,0
52.7,19.8,197.0,3725.0,9.00642,-24.61867,2,0,0
40.2,20.1,200.0,3975.0,8.95998,-26.32601,2,0,0
48.7,15.1,222.0,5350.0,7.96491,-25.39587,1,0,0
40.8,18.9,208.0,4300.0,8.48204,-26.57941,2,0,0
37.3,20.5,199.0,3775.0,9.49645,-26.36678,0,0,0
34.1,18.1,193.0,3475.0,8.733381696969698,-25.6862915407855,0,0,-1
52.2,17.1,228.0,5400.0,8.36701,-25.89834,1,0,0
35.3,18.9,187.0,3800.0,9.21292,-24.3613,1,0,1
39.2,18.6,190.0,4250.0,9.11006,-25.79549,2,0,0
48.2,15.6,221.0,5100.0,8.24651,-26.66958,1,0,0
36.4,17.1,184.0,2850.0,8.62623,-26.1165,1,0,1
45.6,19.4,194.0,3525.0,9.46985,-24.65786,2,0,1
45.8,14.2,219.0,4700.0,8.60447,-26.61601,1,0,1
38.8,17.2,180.0,3800.0,9.63954,-25.29856,1,0,0
35.7,17.0,189.0,3350.0,8.96436,-23.90309,0,0,1
42.9,17.6,196.0,4700.0,8.63259,-26.23027,0,0,0
34.0,17.1,185.0,3400.0,8.01485,-26.69543,2,0,1
45.2,14.8,212.0,5200.0,8.24246,-26.11969,1,0,1
48.4,16.3,220.0,5400.0,8.03659,-26.86127,1,0,0
46.5,17.9,192.0,3500.0,9.03935,-24.30229,2,1,1
